backend,pose_path,scene,anchor_mode,top_k,median_trans_m,median_rot_deg,status,timestamp
da3_salad,cam_dec,chess,reloc3r_motion_averaging,10,0.06,1.69,ok,2026-04-05 02:36:20
da3_salad,cam_dec,fire,reloc3r_motion_averaging,10,0.08,2.07,ok,2026-04-05 03:35:29
da3_salad,cam_dec,heads,reloc3r_motion_averaging,10,0.04,1.85,ok,2026-04-05 04:31:52
da3_salad,cam_dec,office,reloc3r_motion_averaging,10,0.08,1.45,ok,2026-04-05 05:00:01
da3_salad,cam_dec,pumpkin,reloc3r_motion_averaging,10,0.12,1.67,ok,2026-04-05 06:54:47
da3_salad,cam_dec,redkitchen,reloc3r_motion_averaging,10,0.09,1.85,ok,2026-04-05 07:53:35
da3_salad,cam_dec,stairs,reloc3r_motion_averaging,10,0.17,2.74,ok,2026-04-05 10:16:39
da3_salad,ray,chess,reloc3r_motion_averaging,10,0.11,21.11,ok,2026-04-05 10:46:06
da3_salad,ray,fire,reloc3r_motion_averaging,10,0.16,26.75,ok,2026-04-05 12:25:19
da3_salad,ray,heads,reloc3r_motion_averaging,10,0.10,29.53,ok,2026-04-05 14:02:01
da3_salad,ray,office,reloc3r_motion_averaging,10,0.16,21.93,ok,2026-04-05 14:50:25
da3_salad,ray,pumpkin,reloc3r_motion_averaging,10,0.19,20.09,ok,2026-04-05 18:06:07
da3_salad,ray,redkitchen,reloc3r_motion_averaging,10,0.17,22.68,ok,2026-04-05 19:45:31
da3_salad,ray,stairs,reloc3r_motion_averaging,10,0.23,28.67,ok,2026-04-05 23:49:56
dino_salad,cam_dec,chess,reloc3r_motion_averaging,10,0.06,1.76,ok,2026-04-06 00:39:51
dino_salad,cam_dec,fire,reloc3r_motion_averaging,10,0.08,1.82,ok,2026-04-06 01:38:12
dino_salad,cam_dec,heads,reloc3r_motion_averaging,10,0.05,1.70,ok,2026-04-06 02:34:06
dino_salad,cam_dec,office,reloc3r_motion_averaging,10,0.08,1.43,ok,2026-04-06 03:02:11
dino_salad,cam_dec,pumpkin,reloc3r_motion_averaging,10,,,error_1,2026-04-06 04:56:25
dino_salad,cam_dec,redkitchen,reloc3r_motion_averaging,10,0.11,1.84,ok,2026-04-06 04:57:59
dino_salad,cam_dec,stairs,reloc3r_motion_averaging,10,0.16,2.94,ok,2026-04-06 07:22:06
dino_salad,ray,chess,reloc3r_motion_averaging,10,0.12,21.03,ok,2026-04-06 07:51:21
dino_salad,ray,fire,reloc3r_motion_averaging,10,0.16,25.96,ok,2026-04-06 09:30:53
dino_salad,ray,heads,reloc3r_motion_averaging,10,,,error_1,2026-04-06 11:08:02
dino_salad,ray,office,reloc3r_motion_averaging,10,0.16,20.45,ok,2026-04-06 11:09:37
dino_salad,ray,pumpkin,reloc3r_motion_averaging,10,0.19,18.78,ok,2026-04-06 14:28:26
dino_salad,ray,redkitchen,reloc3r_motion_averaging,10,,,error_1,2026-04-06 16:08:15
dino_salad,ray,stairs,reloc3r_motion_averaging,10,0.23,28.55,ok,2026-04-06 16:09:49
netvlad,cam_dec,chess,reloc3r_motion_averaging,10,0.05,1.92,ok,2026-04-06 17:01:51
netvlad,cam_dec,fire,reloc3r_motion_averaging,10,0.07,2.00,ok,2026-04-06 17:56:22
netvlad,cam_dec,heads,reloc3r_motion_averaging,10,0.04,2.00,ok,2026-04-06 18:49:42
netvlad,cam_dec,office,reloc3r_motion_averaging,10,0.07,1.79,ok,2026-04-06 19:16:25
netvlad,cam_dec,pumpkin,reloc3r_motion_averaging,10,0.10,1.88,ok,2026-04-06 21:04:47
netvlad,cam_dec,redkitchen,reloc3r_motion_averaging,10,0.08,2.02,ok,2026-04-06 22:00:15
netvlad,cam_dec,stairs,reloc3r_motion_averaging,10,0.12,2.87,ok,2026-04-07 00:17:21
netvlad,ray,chess,reloc3r_motion_averaging,10,0.08,23.39,ok,2026-04-07 00:45:41
