backend,pose_path,scene,anchor_mode,top_k,median_trans_m,median_rot_deg,status,timestamp
da3_salad,cam_dec,GreatCourt,reloc3r_motion_averaging,10,2.08,1.37,ok,2026-04-08 03:28:38
da3_salad,cam_dec,KingsCollege,reloc3r_motion_averaging,10,1.06,1.35,ok,2026-04-08 03:53:42
da3_salad,cam_dec,OldHospital,reloc3r_motion_averaging,10,2.43,2.51,ok,2026-04-08 04:05:55
da3_salad,cam_dec,ShopFacade,reloc3r_motion_averaging,10,0.38,1.64,ok,2026-04-08 04:12:47
da3_salad,cam_dec,StMarysChurch,reloc3r_motion_averaging,10,1.27,2.06,ok,2026-04-08 04:16:14
da3_salad,ray,GreatCourt,reloc3r_motion_averaging,10,2.95,13.26,ok,2026-04-08 04:34:08
da3_salad,ray,KingsCollege,reloc3r_motion_averaging,10,1.26,10.68,ok,2026-04-08 05:13:25
da3_salad,ray,OldHospital,reloc3r_motion_averaging,10,2.18,12.85,ok,2026-04-08 05:32:14
da3_salad,ray,ShopFacade,reloc3r_motion_averaging,10,0.57,19.40,ok,2026-04-08 05:42:46
da3_salad,ray,StMarysChurch,reloc3r_motion_averaging,10,1.64,14.56,ok,2026-04-08 05:48:18
dino_salad,cam_dec,GreatCourt,reloc3r_motion_averaging,10,1.37,1.51,ok,2026-04-08 06:16:51
dino_salad,cam_dec,KingsCollege,reloc3r_motion_averaging,10,,,error_1,2026-04-08 06:40:44
dino_salad,cam_dec,OldHospital,reloc3r_motion_averaging,10,2.66,3.15,ok,2026-04-08 06:42:18
dino_salad,cam_dec,ShopFacade,reloc3r_motion_averaging,10,,,error_1,2026-04-08 06:51:26
dino_salad,cam_dec,StMarysChurch,reloc3r_motion_averaging,10,1.27,2.15,ok,2026-04-08 06:53:00
dino_salad,ray,GreatCourt,reloc3r_motion_averaging,10,1.95,13.40,ok,2026-04-08 07:13:23
dino_salad,ray,KingsCollege,reloc3r_motion_averaging,10,1.26,10.11,ok,2026-04-08 07:52:26
dino_salad,ray,OldHospital,reloc3r_motion_averaging,10,2.59,14.82,ok,2026-04-08 08:11:05
dino_salad,ray,ShopFacade,reloc3r_motion_averaging,10,0.47,20.64,ok,2026-04-08 08:21:31
dino_salad,ray,StMarysChurch,reloc3r_motion_averaging,10,,,error_1,2026-04-08 08:27:02
netvlad,cam_dec,GreatCourt,reloc3r_motion_averaging,10,1.72,1.63,ok,2026-04-08 08:28:36
netvlad,cam_dec,KingsCollege,reloc3r_motion_averaging,10,1.19,1.66,ok,2026-04-08 08:50:53
netvlad,cam_dec,OldHospital,reloc3r_motion_averaging,10,2.80,3.07,ok,2026-04-08 09:01:42
netvlad,cam_dec,ShopFacade,reloc3r_motion_averaging,10,0.35,1.58,ok,2026-04-08 09:07:47
netvlad,cam_dec,StMarysChurch,reloc3r_motion_averaging,10,1.20,2.24,ok,2026-04-08 09:11:03
netvlad,ray,GreatCourt,reloc3r_motion_averaging,10,5.84,18.39,ok,2026-04-08 09:27:29
netvlad,ray,KingsCollege,reloc3r_motion_averaging,10,1.48,12.69,ok,2026-04-08 10:05:03
netvlad,ray,OldHospital,reloc3r_motion_averaging,10,2.94,14.90,ok,2026-04-08 10:22:46
netvlad,ray,ShopFacade,reloc3r_motion_averaging,10,0.60,21.07,ok,2026-04-08 10:32:33
netvlad,ray,StMarysChurch,reloc3r_motion_averaging,10,1.77,17.42,ok,2026-04-08 10:37:54
